dia,mes,"fraseTexto"
1,1,"Los mandamientos de jehová son rectos ,que alegran el corazón. SALMOS 19,8"
2,1,"has cambiado mi lamento en baile ; desataste mi cilicio , y me ceñiste de alegría . SALMOS 30,11"
3,1,"Estad siempre gozosos. TESALONICENSES 5,16"
4,1,"Me alegraré y me regocijaré en ti . SALMOS 9,2"
5,1,"Y a la mañana vendrá la alegría. SALMOS 9,2"
6,1,"Tú diste alegría a mi corazón .SALMO 31,7"
7,1,"Me gozaré y alegraré en tu misericordia .SALMO 31,7"
8,1,"Tus consolaciones alegraban mi alma . SALMO 94,19"
9,1,"En tu presencia hay plenitud de gozo .SALMO 16,11"
10,1,"Hermanos míos,tened por sumo gozo cuando os halléis en diversas pruebas .SANTIAGO 1,2"
11,1,"Regocijaos en el Señor siempre .Otra vez digo:¡Regocijaos!.FILIPENSES 4,4"
12,1,"Pedid, y recibiréis,para que vuestro gozo sea cumplido .JUAN 16,24"
13,1,"Me he gozado en el camino de tus testimonios.SALMOS 119,14"
14,1,"Y el Dios de esperanzas os llene de todo gozo. ROMANOS 15,13"
15,1,"Gozaos por cuanto sois participantes de los padecimientos de Cristo.1PEDRO 4,13a"
16,1,"…para que también en la revelación de su gloria os gocéis con gran alegría.1PEDRO 4,13b"
17,1,"En él confio mi corazón , y fui ayudado,por lo que se gozó mi corazón, y con mi cántico le alabaré.SALMOS 28,7"
18,1,"Por heredad he tomado tus testimonios para siempre , porque son el gozo de mi corazón.SALMOS 119,111"
19,1,"¿ Está alguno entre vosotros afligido? Haga oración . ¿Está alguno alegre? Canté alabanzas. SANTIAGO 5,13"
20,1,"Por amor a Cristo me gozo en las debilidades , …porque cuando soy débil,entonces soy fuerte .2CORINTIOS12,10"
21,1,"Estas cosas os he hablado, para que mi gozo esté en vosotros, y vuestros gozo sea cumplido . JUAN 15,11"
22,1,"Gozosos en la esperanza;sufridos en la tribulación;constantes en la oración.ROMANOS 12,12"
23,1,"Con todo, yo me alegrare en jehová ,y me gozare en el Dios de mi salvación.HAVACUC 3,18"
24,1,"Por que el gozo de jehová es vuestra fuerza . NEHEMIAS 8,10"
25,1,"Para que con gozo llegue a vosotros por voluntad de Dios .ROMANOS 15,32"
26,1,"Puso luego en mi boca cántico nuevo,alabanza a nuestro Dios. SALMOS 40,3"
27,1,"Este es el dia que hizo jehová;nos gozaremos y alegraremos en él. SALMOS 118,24"
28,1,"En gran manera me gozaré en jehová , mi alma se alegrará en mi Dios . ISAIAS 61,10"
29,1,"Yo he conocido que no hay para ellos cosa mejor que alegrarse.ECLESIASTES 3,12"
30,1,"Alegría (hay) en el ( corazón )de los que piensan el bien. PROVERBIOS 12,20"
31,1,"Este es el dia que hizo jehová;nos gozaremos y alegraremos en El. SALMOS 118,24"
1,2,"Yo me acosté y dormí, y desperté,porque jehová me sustentaba.SALMOS 3,5"
2,2,"Vuelve ,oh alma mía,a tu reposo,porque Jehová te ha hecho bien. SALMOS 116,7"
3,2,"Pero los que esperan a jehová tendrán nuevas fuerzas . SALMOS 4,8"
4,2,"…correrán, y no se cansarán ,caminarán y no se fastigaran.ISAIAS 40,31b"
5,2,"Alma mía, en Dios solamente reposa,porque de él es mi esperanza . SALMOS 62,5"
6,2,"En lugares de delicados pastos me hará descansar.SALMOS 23,2"
7,2,"Aprended de mí que soy manso y humilde de corazón ;y hallaréis descanso para vuestras almas.MATEO 11,29"
8,2,"Has escudriñado mi andar y mi reposo, y todos mis caminos te son conocidos.SALMOS 139,3"
9,2,"En paz me acostaré,y asi mismo dormiré ; porque solo tú , Jehová,me haces vivir confiado. SALMOS 4,8"
10,2,"Tú guardarás en completa paz a  aquel cuyo pensamiento en ti persevera. ISAIAS 26,3"
11,2,"No nos cansemos , pues de hacer bien; porque a su tiempo segaremos ,si no desmayamos . GÁLATAS 6,9"
12,2,"Venid a mí todos los que estáis trabajados y cargados,y yo os haré descansar. MATEO 11,28"
13,2,"El que habita al abrigo del Altísimo morará bajo la sombra del Omnipotente. SALMOS 91,1"
14,2,"Dormirán de noche ; porque Jehová su Dios los visitará. SOFONÍAS 2,7"
15,2,"No desmayes , porque yo soy tu Dios que te esfuerzo. ISAÍAS 41,10"
16,2,"Por tanto,queda un reposo para el pueblo de Dios.HEBREOS 4,9"
17,2,"Procuremos,pues,entrar en aquel reposo. HEBREOS 4,11"
18,2,"Cuando te acuestes, no tendrás temor. PROVERBIOS 3,24,a"
19,2,"…sino que te acostarás, y tu sueño será grato. PEOVERBIOS 3,2b"
20,2,"Echando toda vuestra ansiedad sobre él , porque él tiene cuidado de vosotros. 1PEDRO 5,7"
21,2,"Te acostarás, y no habrá quien te espante. JOB 11,19"
22,2,"Hallaréis descanso para vuestra alma. JEREMÍAS 6,16"
